Date,Site,Transect,Distance,Spp.,Height (m),Seedling?,Species Counts,morphology
8/24/2011,ANAO N,2,11.2,AGMA,,2,50,tree
8/24/2011,ANAO N,2,11,AGMA,,2,50,tree
8/24/2011,ANAO N,1,43,AGMA,,3,50,tree
8/24/2011,ANAO N,1,43,AGMA,,3,50,tree
8/24/2011,ANAO N,1,32.5,AGMA,,3,50,tree
8/24/2011,ANAO N,1,19.3,AGMA,,3,50,tree
8/24/2011,ANAO N,1,18,AGMA,,3,50,tree
8/24/2011,ANAO N,2,10.3,AGMA,,3,50,tree
8/24/2011,ANAO N,2,8,AGMA,,3,50,tree
8/24/2011,ANAO N,2,7,AGMA,,3,50,tree
8/24/2011,ANAO N,1,43.5,AGMA,,4,50,tree
8/24/2011,ANAO N,1,42,AGMA,,4,50,tree
8/24/2011,ANAO N,1,19,AGMA,,4,50,tree
8/24/2011,ANAO N,2,9.3,AGMA,,4,50,tree
8/24/2011,ANAO N,2,9,AGMA,,4,50,tree
8/24/2011,ANAO N,2,8,AGMA,,5,50,tree
8/24/2011,ANAO N,1,19,AGMA,,8,50,tree
8/24/2011,ANAO N,1,29,AGMA,7.5,,50,tree
8/24/2011,ANAO N,1,49.3,AGMA,9,,50,tree
8/24/2011,ANAO N,1,27.7,AGMA,10,,50,tree
8/24/2011,ANAO N,1,2.6,AGMA,7,,50,tree
8/24/2011,ANAO N,1,33.5,AGMA,0.4,,50,tree
8/24/2011,ANAO N,1,32.9,AGMA,4.2,,50,tree
8/24/2011,ANAO N,2,8.3,AGMA,9,,50,tree
8/24/2011,ANAO N,2,21.9,AGMA,,,50,tree
8/24/2011,ANAO N,2,44.4,AGMA,2.1,,50,tree
8/24/2011,ANAO N,2,24,AGMA,1.8,,50,tree
8/24/2011,ANAO N,2,48.2,AGMA,1.4,,50,tree
8/24/2011,ANAO N,2,29.9,AGMA,1.1,,50,tree
8/24/2011,ANAO N,2,26.6,AGMA,1,,50,tree
8/24/2011,ANAO N,2,14.9,AGMA,0.4,,50,tree
8/24/2011,ANAO N,2,12.7,AGMA,1.2,,50,tree
7/27/2011,ANAO S,1,47.9,AGMA,,1,31,tree
7/27/2011,ANAO S,1,47.5,AGMA,,1,31,tree
7/27/2011,ANAO S,1,47,AGMA,,1,31,tree
7/27/2011,ANAO S,1,45.8,AGMA,,1,31,tree
7/27/2011,ANAO S,1,42.5,AGMA,,1,31,tree
7/27/2011,ANAO S,1,40.9,AGMA,,1,31,tree
7/27/2011,ANAO S,1,15.1,AGMA,,1,31,tree
7/27/2011,ANAO S,2,36.1,AGMA,,1,31,tree
7/27/2011,ANAO S,2,34.9,AGMA,,1,31,tree
7/27/2011,ANAO S,2,25.5,AGMA,,1,31,tree
7/27/2011,ANAO S,2,23.9,AGMA,,1,31,tree
7/27/2011,ANAO S,2,23.3,AGMA,,1,31,tree
7/27/2011,ANAO S,2,22.9,AGMA,,1,31,tree
7/27/2011,ANAO S,2,5.2,AGMA,,1,31,tree
7/27/2011,ANAO S,1,46.4,AGMA,,2,31,tree
7/27/2011,ANAO S,1,34.7,AGMA,,3,31,tree
7/27/2011,ANAO S,1,45.4,AGMA,6.2,,31,tree
7/27/2011,ANAO S,1,45.4,AGMA,8.5,,31,tree
7/27/2011,ANAO S,1,44.7,AGMA,0.2,,31,tree
7/27/2011,ANAO S,1,42.1,AGMA,5.9,,31,tree
7/27/2011,ANAO S,1,35.4,AGMA,6.5,,31,tree
7/27/2011,ANAO S,1,23,AGMA,1.5,,31,tree
7/27/2011,ANAO S,1,15.1,AGMA,5.9,,31,tree
7/27/2011,ANAO S,1,13.5,AGMA,5.8,,31,tree
7/27/2011,ANAO S,1,10.6,AGMA,2.6,,31,tree
7/27/2011,ANAO S,1,10.5,AGMA,5.2,,31,tree
7/27/2011,ANAO S,2,49.6,AGMA,1.1,,31,tree
7/27/2011,ANAO S,2,48.8,AGMA,0.4,,31,tree
7/27/2011,ANAO S,2,26,AGMA,0.6,,31,tree
7/27/2011,ANAO S,2,3.3,AGMA,1,,31,tree
7/27/2011,ANAO S,2,2.6,AGMA,1.6,,31,tree
7/26/2011,GW,1,48.2,AGMA,,1,6,tree
7/26/2011,GW,1,16.1,AGMA,,1,6,tree
7/26/2011,GW,1,13.1,AGMA,2,,6,tree
7/26/2011,GW,1,25.8,AGMA,2.2,,6,tree
7/26/2011,GW,1,12.6,AGMA,1.7,,6,tree
8/2/2011,GW,2,3.3,AGMA,5.2,,6,tree
9/29/2011,HMU,1,27.7,AGMA,,1,34,tree
9/29/2011,HMU,1,22.7,AGMA,,1,34,tree
9/29/2011,HMU,1,22.1,AGMA,,1,34,tree
9/29/2011,HMU,1,11.3,AGMA,,1,34,tree
9/29/2011,HMU,2,41.9,AGMA,,1,34,tree
9/29/2011,HMU,2,41.1,AGMA,,1,34,tree
9/29/2011,HMU,2,27.1,AGMA,,1,34,tree
9/29/2011,HMU,2,23.5,AGMA,,1,34,tree
9/29/2011,HMU,2,17.3,AGMA,,1,34,tree
9/29/2011,HMU,2,16.7,AGMA,,1,34,tree
9/29/2011,HMU,2,16.5,AGMA,,1,34,tree
9/29/2011,HMU,2,15.1,AGMA,,1,34,tree
9/29/2011,HMU,2,14.9,AGMA,,1,34,tree
9/29/2011,HMU,2,14.4,AGMA,,1,34,tree
9/29/2011,HMU,1,31.5,AGMA,,2,34,tree
9/29/2011,HMU,1,31,AGMA,,2,34,tree
9/29/2011,HMU,1,30,AGMA,,2,34,tree
9/29/2011,HMU,1,29.5,AGMA,,2,34,tree
9/29/2011,HMU,1,19.8,AGMA,,2,34,tree
9/29/2011,HMU,2,42.6,AGMA,,2,34,tree
9/29/2011,HMU,2,39.6,AGMA,,2,34,tree
9/29/2011,HMU,2,16.2,AGMA,,2,34,tree
9/29/2011,HMU,1,32.2,AGMA,,3,34,tree
9/29/2011,HMU,1,20,AGMA,,3,34,tree
9/29/2011,HMU,2,40,AGMA,,3,34,tree
9/29/2011,HMU,1,21,AGMA,,4,34,tree
9/29/2011,HMU,2,41,AGMA,,4,34,tree
9/29/2011,HMU,2,15.5,AGMA,,4,34,tree
9/29/2011,HMU,1,31,AGMA,,5,34,tree
9/29/2011,HMU,1,30,AGMA,,5,34,tree
9/29/2011,HMU,1,26.3,AGMA,0.4,,34,tree
9/29/2011,HMU,1,16.1,AGMA,8.5,,34,tree
9/29/2011,HMU,2,30.8,AGMA,5.2,,34,tree
9/29/2011,HMU,2,30.4,AGMA,5.1,,34,tree
8/25/2011,NBLAS,1,21.7,AGMA,,1,39,tree
8/25/2011,NBLAS,2,46.2,AGMA,,1,39,tree
8/25/2011,NBLAS,2,46,AGMA,,1,39,tree
8/25/2011,NBLAS,2,45.3,AGMA,,1,39,tree
8/25/2011,NBLAS,2,45,AGMA,,1,39,tree
8/25/2011,NBLAS,2,42.7,AGMA,,1,39,tree
8/25/2011,NBLAS,2,41.7,AGMA,,1,39,tree
8/25/2011,NBLAS,2,34.3,AGMA,,1,39,tree
8/25/2011,NBLAS,2,17.4,AGMA,,1,39,tree
8/25/2011,NBLAS,2,16.8,AGMA,,1,39,tree
8/25/2011,NBLAS,2,14,AGMA,,1,39,tree
8/25/2011,NBLAS,2,13.3,AGMA,,1,39,tree
8/25/2011,NBLAS,2,11.6,AGMA,,1,39,tree
8/25/2011,NBLAS,2,7,AGMA,,1,39,tree
8/25/2011,NBLAS,2,2.5,AGMA,,1,39,tree
8/25/2011,NBLAS,2,44,AGMA,,2,39,tree
8/25/2011,NBLAS,2,43,AGMA,,2,39,tree
8/25/2011,NBLAS,2,22.9,AGMA,,2,39,tree
8/25/2011,NBLAS,2,13,AGMA,,2,39,tree
8/25/2011,NBLAS,2,2,AGMA,,3,39,tree
8/25/2011,NBLAS,2,1,AGMA,,3,39,tree
8/25/2011,NBLAS,2,45,AGMA,,5,39,tree
8/25/2011,NBLAS,2,44,AGMA,,6,39,tree
8/25/2011,NBLAS,1,49.5,AGMA,3.9,,38,tree
8/25/2011,NBLAS,1,49.5,AGMA,2.8,,38,tree
8/25/2011,NBLAS,1,49.2,AGMA,3.8,,38,tree
8/25/2011,NBLAS,1,48.6,AGMA,2.2,,38,tree
8/25/2011,NBLAS,1,47.7,AGMA,3.5,,38,tree
8/25/2011,NBLAS,1,29.8,AGMA,6,,38,tree
8/25/2011,NBLAS,1,10.6,AGMA,6,,38,tree
8/25/2011,NBLAS,1,6.3,AGMA,3.5,,38,tree
8/25/2011,NBLAS,1,5,AGMA,4.5,,39,tree
8/25/2011,NBLAS,1,2.8,AGMA,7.5,,39,tree
8/25/2011,NBLAS,1,1.3,AGMA,6.2,,39,tree
8/25/2011,NBLAS,2,36.8,AGMA,7,,39,tree
8/25/2011,NBLAS,2,43.7,AGMA,7.2,,39,tree
8/25/2011,NBLAS,2,32.8,AGMA,0.4,,39,tree
8/25/2011,NBLAS,2,6.2,AGMA,5.8,,39,tree
8/25/2011,NBLAS,2,4.6,AGMA,5,,39,tree
11/3/2011,NW FIELD,1,49.4,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,46.2,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,45.2,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,43.5,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,42.3,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,41.6,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,38.8,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,37.6,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,37,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,36.8,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,36,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,33.9,AGMA,,1,42,tree
11/3/2011,NW FIELD,2,34.5,AGMA,,1,42,tree
11/3/2011,NW FIELD,2,42.6,AGMA,,1,42,tree
11/3/2011,NW FIELD,2,43,AGMA,,1,42,tree
11/3/2011,NW FIELD,2,43.4,AGMA,,1,42,tree
11/3/2011,NW FIELD,1,37.5,AGMA,,2,42,tree
11/3/2011,NW FIELD,2,45.4,AGMA,,2,42,tree
11/3/2011,NW FIELD,2,45.8,AGMA,,3,42,tree
11/3/2011,NW FIELD,2,43.7,AGMA,,4,42,tree
11/3/2011,NW FIELD,2,46.4,AGMA,,4,42,tree
11/3/2011,NW FIELD,1,12.2,AGMA,4.1,,42,tree
11/3/2011,NW FIELD,1,46.7,AGMA,1.3,,42,tree
11/3/2011,NW FIELD,1,35,AGMA,0.3,,42,tree
11/3/2011,NW FIELD,1,34.5,AGMA,0.4,,42,tree
11/3/2011,NW FIELD,1,34.5,AGMA,3.2,,42,tree
11/3/2011,NW FIELD,1,33.4,AGMA,0.5,,42,tree
11/3/2011,NW FIELD,1,31.3,AGMA,3.1,,42,tree
11/3/2011,NW FIELD,1,7.6,AGMA,3.6,,42,tree
11/3/2011,NW FIELD,1,7.3,AGMA,3.7,,42,tree
11/3/2011,NW FIELD,2,11.1,AGMA,2.4,,42,tree
11/3/2011,NW FIELD,2,16.2,AGMA,2,,42,tree
11/3/2011,NW FIELD,2,19.2,AGMA,2,,42,tree
11/3/2011,NW FIELD,2,21.6,AGMA,2.3,,42,tree
11/3/2011,NW FIELD,2,34.7,AGMA,2.2,,42,tree
11/3/2011,NW FIELD,2,36.4,AGMA,0.6,,42,tree
11/3/2011,NW FIELD,2,36.5,AGMA,1.7,,42,tree
11/3/2011,NW FIELD,2,38.3,AGMA,3.9,,42,tree
11/3/2011,NW FIELD,2,38.8,AGMA,3.8,,42,tree
11/3/2011,NW FIELD,2,39.3,AGMA,3.5,,42,tree
11/3/2011,NW FIELD,2,43.1,AGMA,1,,42,tree
11/3/2011,NW FIELD,2,46.4,AGMA,2.4,,42,tree
11-Jul,RACETRACK,1,45.5,AGMA,,1,56,tree
11-Jul,RACETRACK,1,41.9,AGMA,,1,56,tree
11-Jul,RACETRACK,1,42.2,AGMA,,1,56,tree
11-Jul,RACETRACK,1,39.4,AGMA,,1,56,tree
11-Jul,RACETRACK,1,35.9,AGMA,,1,56,tree
11-Jul,RACETRACK,1,26.6,AGMA,,1,56,tree
11-Jul,RACETRACK,1,23.6,AGMA,,1,56,tree
11-Jul,RACETRACK,1,16.2,AGMA,,1,56,tree
11-Jul,RACETRACK,2,24.2,AGMA,,1,56,tree
11-Jul,RACETRACK,2,13.7,AGMA,,1,56,tree
11-Jul,RACETRACK,2,12,AGMA,,1,56,tree
11-Jul,RACETRACK,2,5.5,AGMA,,1,56,tree
11-Jul,RACETRACK,2,3.9,AGMA,,1,56,tree
11-Jul,RACETRACK,2,2.7,AGMA,,1,56,tree
11-Jul,RACETRACK,1,26,AGMA,,2,56,tree
11-Jul,RACETRACK,1,25,AGMA,,2,56,tree
11-Jul,RACETRACK,1,24.1,AGMA,,2,56,tree
11-Jul,RACETRACK,2,5,AGMA,,2,56,tree
11-Jul,RACETRACK,1,26,AGMA,,3,56,tree
11-Jul,RACETRACK,1,46.4,AGMA,2.1,,56,tree
11-Jul,RACETRACK,1,46.2,AGMA,8,,56,tree
11-Jul,RACETRACK,1,45.2,AGMA,7,,56,tree
11-Jul,RACETRACK,1,45.2,AGMA,5.6,,56,tree
11-Jul,RACETRACK,1,48.8,AGMA,0.3,,56,tree
11-Jul,RACETRACK,1,44.4,AGMA,1.1,,56,tree
11-Jul,RACETRACK,1,44.1,AGMA,7,,56,tree
11-Jul,RACETRACK,1,43.8,AGMA,3.8,,56,tree
11-Jul,RACETRACK,1,43.7,AGMA,0.5,,56,tree
11-Jul,RACETRACK,1,43.4,AGMA,0.3,,56,tree
11-Jul,RACETRACK,1,42.6,AGMA,2.3,,56,tree
11-Jul,RACETRACK,1,42.3,AGMA,8,,56,tree
11-Jul,RACETRACK,1,41.7,AGMA,7,,56,tree
11-Jul,RACETRACK,1,31.7,AGMA,6,,56,tree
11-Jul,RACETRACK,1,27.3,AGMA,0.5,,56,tree
11-Jul,RACETRACK,1,17.2,AGMA,0.5,,56,tree
11-Jul,RACETRACK,1,16.6,AGMA,0.6,,56,tree
11-Jul,RACETRACK,1,14.9,AGMA,0.5,,56,tree
11-Jul,RACETRACK,1,8.2,AGMA,1.9,,56,tree
11-Jul,RACETRACK,1,5.8,AGMA,1.6,,56,tree
11-Jul,RACETRACK,1,3.2,AGMA,5.7,,56,tree
11-Jul,RACETRACK,2,15.4,AGMA,6,,56,tree
11-Jul,RACETRACK,2,39.3,AGMA,3.1,,56,tree
11-Jul,RACETRACK,2,39,AGMA,5.7,,56,tree
11-Jul,RACETRACK,2,36.7,AGMA,6,,56,tree
11-Jul,RACETRACK,2,36.1,AGMA,6,,56,tree
11-Jul,RACETRACK,2,36.1,AGMA,6,,56,tree
11-Jul,RACETRACK,2,35.3,AGMA,4.3,,56,tree
11-Jul,RACETRACK,2,23.1,AGMA,5,,56,tree
11-Jul,RACETRACK,2,22.1,AGMA,5.3,,56,tree
11-Jul,RACETRACK,2,20.2,AGMA,2,,56,tree
11-Jul,RACETRACK,2,19.3,AGMA,5.2,,56,tree
11-Jul,RACETRACK,2,19.2,AGMA,4.8,,56,tree
11-Jul,RACETRACK,2,17.7,AGMA,0.5,,56,tree
11-Jul,RACETRACK,2,17.3,AGMA,6,,56,tree
11-Jul,RACETRACK,2,10.4,AGMA,4,,56,tree
11-Jul,RACETRACK,2,10.3,AGMA,0.5,,56,tree
11-Jul,RITD GATE,1,45.7,AGMA,,1,28,tree
11-Jul,RITD GATE,1,42.9,AGMA,,1,28,tree
11-Jul,RITD GATE,1,41.8,AGMA,,1,28,tree
11-Jul,RITD GATE,1,20,AGMA,,1,28,tree
11-Jul,RITD GATE,1,19,AGMA,,1,28,tree
11-Jul,RITD GATE,1,18,AGMA,,1,28,tree
11-Jul,RITD GATE,1,17.4,AGMA,,1,28,tree
11-Jul,RITD GATE,1,15.9,AGMA,,1,28,tree
11-Jul,RITD GATE,1,5,AGMA,,1,28,tree
11-Jul,RITD GATE,1,4,AGMA,,1,28,tree
11-Jul,RITD GATE,1,3.2,AGMA,,1,28,tree
11-Jul,RITD GATE,1,2.5,AGMA,,1,28,tree
7/19/2011,RITD GATE,2,47.2,AGMA,,1,28,tree
7/19/2011,RITD GATE,2,4.4,AGMA,,1,28,tree
7/19/2011,RITD GATE,2,3.3,AGMA,,1,28,tree
7/19/2011,RITD GATE,2,0.7,AGMA,,1,28,tree
11-Jul,RITD GATE,1,44.1,AGMA,,2,28,tree
11-Jul,RITD GATE,1,3.6,AGMA,,2,28,tree
7/19/2011,RITD GATE,2,2,AGMA,,2,28,tree
7/19/2011,RITD GATE,2,1,AGMA,,2,28,tree
11-Jul,RITD GATE,1,43.5,AGMA,,3,28,tree
7/19/2011,RITD GATE,2,2,AGMA,,6,28,tree
7/19/2011,RITD GATE,2,3,AGMA,,7,28,tree
11-Jul,RITD GATE,1,36.5,AGMA,0.5,,28,tree
11-Jul,RITD GATE,1,12,AGMA,4.2,,28,tree
11-Jul,RITD GATE,1,1.1,AGMA,0.6,,28,tree
11-Jul,RITD GATE,1,0.6,AGMA,0.4,,28,tree
7/19/2011,RITD GATE,2,38.3,AGMA,2.7,,28,tree
11-Jul,RITD GRID,1,48.3,AGMA,,1,74,tree
11-Jul,RITD GRID,1,48.1,AGMA,,1,74,tree
11-Jul,RITD GRID,1,47.8,AGMA,,1,74,tree
11-Jul,RITD GRID,1,47.6,AGMA,,1,74,tree
11-Jul,RITD GRID,1,39.9,AGMA,,1,74,tree
11-Jul,RITD GRID,1,21.9,AGMA,,1,74,tree
11-Jul,RITD GRID,1,18.7,AGMA,,1,74,tree
11-Jul,RITD GRID,1,14.6,AGMA,,1,74,tree
11-Jul,RITD GRID,1,14.2,AGMA,,1,74,tree
11-Jul,RITD GRID,1,12.8,AGMA,,1,74,tree
11-Jul,RITD GRID,1,12.7,AGMA,,1,74,tree
11-Jul,RITD GRID,1,12.1,AGMA,,1,74,tree
11-Jul,RITD GRID,1,8.9,AGMA,,1,74,tree
11-Jul,RITD GRID,1,7.2,AGMA,,1,74,tree
11-Jul,RITD GRID,1,5.5,AGMA,,1,74,tree
11-Jul,RITD GRID,1,4.2,AGMA,,1,74,tree
11-Jul,RITD GRID,2,43.3,AGMA,,1,74,tree
11-Jul,RITD GRID,2,24.8,AGMA,,1,74,tree
11-Jul,RITD GRID,2,24.2,AGMA,,1,74,tree
11-Jul,RITD GRID,2,23.5,AGMA,,1,74,tree
11-Jul,RITD GRID,2,21.9,AGMA,,1,74,tree
11-Jul,RITD GRID,2,17.2,AGMA,,1,74,tree
11-Jul,RITD GRID,2,6.2,AGMA,,1,74,tree
11-Jul,RITD GRID,2,6,AGMA,,1,74,tree
11-Jul,RITD GRID,2,5.8,AGMA,,1,74,tree
11-Jul,RITD GRID,2,2.9,AGMA,,1,74,tree
11-Jul,RITD GRID,1,19,AGMA,,2,74,tree
11-Jul,RITD GRID,1,13.9,AGMA,,2,74,tree
11-Jul,RITD GRID,1,5.7,AGMA,,2,74,tree
11-Jul,RITD GRID,2,43.2,AGMA,,2,74,tree
11-Jul,RITD GRID,2,42.8,AGMA,,2,74,tree
11-Jul,RITD GRID,2,21.3,AGMA,,2,74,tree
11-Jul,RITD GRID,2,19.1,AGMA,,2,74,tree
11-Jul,RITD GRID,2,16.8,AGMA,,2,74,tree
11-Jul,RITD GRID,2,12.6,AGMA,,2,74,tree
11-Jul,RITD GRID,2,11,AGMA,,2,74,tree
11-Jul,RITD GRID,2,9,AGMA,,2,74,tree
11-Jul,RITD GRID,1,50,AGMA,,3,74,tree
11-Jul,RITD GRID,1,13.4,AGMA,,3,74,tree
11-Jul,RITD GRID,2,23.1,AGMA,,3,74,tree
11-Jul,RITD GRID,2,22.1,AGMA,,3,74,tree
11-Jul,RITD GRID,2,10,AGMA,,3,74,tree
11-Jul,RITD GRID,1,21.3,AGMA,,4,74,tree
11-Jul,RITD GRID,1,7,AGMA,,4,74,tree
11-Jul,RITD GRID,1,6,AGMA,,4,74,tree
11-Jul,RITD GRID,1,15.2,AGMA,,5,74,tree
11-Jul,RITD GRID,2,21,AGMA,,7,74,tree
11-Jul,RITD GRID,2,20,AGMA,,7,74,tree
11-Jul,RITD GRID,2,8,AGMA,,7,74,tree
11-Jul,RITD GRID,2,7,AGMA,,7,74,tree
11-Jul,RITD GRID,2,9,AGMA,,9,74,tree
11-Jul,RITD GRID,2,8,AGMA,,9,74,tree
11-Jul,RITD GRID,2,18,AGMA,,10,74,tree
11-Jul,RITD GRID,2,19,AGMA,,11,74,tree
11-Jul,RITD GRID,1,49.9,AGMA,0.2,,74,tree
11-Jul,RITD GRID,1,49.8,AGMA,0.4,,74,tree
11-Jul,RITD GRID,1,49.4,AGMA,0.3,,74,tree
11-Jul,RITD GRID,1,38.2,AGMA,2.8,,74,tree
11-Jul,RITD GRID,1,30.9,AGMA,0.9,,74,tree
11-Jul,RITD GRID,1,19.7,AGMA,0.8,,74,tree
11-Jul,RITD GRID,1,9.1,AGMA,2.3,,74,tree
11-Jul,RITD GRID,1,6,AGMA,8,,74,tree
11-Jul,RITD GRID,1,5.1,AGMA,12,,74,tree
11-Jul,RITD GRID,2,43.1,AGMA,1.2,,74,tree
11-Jul,RITD GRID,2,38.3,AGMA,7,,74,tree
11-Jul,RITD GRID,2,36.3,AGMA,1.3,,74,tree
11-Jul,RITD GRID,2,36.2,AGMA,4,,74,tree
11-Jul,RITD GRID,2,33.7,AGMA,6,,74,tree
11-Jul,RITD GRID,2,32.5,AGMA,1.8,,74,tree
11-Jul,RITD GRID,2,32.3,AGMA,0.3,,74,tree
11-Jul,RITD GRID,2,20.4,AGMA,11,,74,tree
11-Jul,RITD GRID,2,16.3,AGMA,0.3,,74,tree
11-Jul,RITD GRID,2,14.3,AGMA,0.4,,74,tree
11-Jul,RITD GRID,2,10.1,AGMA,5.8,,74,tree
9/8/2011,SBLAS,2,31.5,AGMA,,1,101,tree
9/8/2011,SBLAS,2,26.9,AGMA,,1,101,tree
9/8/2011,SBLAS,2,17.4,AGMA,,1,101,tree
9/8/2011,SBLAS,1,32,AGMA,,2,101,tree
9/8/2011,SBLAS,1,32,AGMA,,2,101,tree
9/8/2011,SBLAS,1,31,AGMA,,2,101,tree
9/8/2011,SBLAS,1,5.8,AGMA,,2,101,tree
9/8/2011,SBLAS,2,33.7,AGMA,,2,101,tree
9/8/2011,SBLAS,2,32.7,AGMA,,2,101,tree
9/8/2011,SBLAS,2,26.2,AGMA,,2,101,tree
9/8/2011,SBLAS,1,33,AGMA,,3,101,tree
9/8/2011,SBLAS,1,35.5,AGMA,,4,101,tree
9/8/2011,SBLAS,1,33.7,AGMA,,4,101,tree
9/8/2011,SBLAS,1,34.5,AGMA,,5,101,tree
9/8/2011,SBLAS,1,36.5,AGMA,,10,101,tree
9/8/2011,SBLAS,1,35.5,AGMA,,10,101,tree
9/8/2011,SBLAS,1,37.5,AGMA,,13,101,tree
9/8/2011,SBLAS,1,36.5,AGMA,,13,101,tree
9/8/2011,SBLAS,1,37.8,AGMA,0.2,,101,tree
9/8/2011,SBLAS,1,39.8,AGMA,0.2,,101,tree
9/8/2011,SBLAS,1,33.8,AGMA,0.3,,101,tree
9/8/2011,SBLAS,1,31.8,AGMA,0.3,,101,tree
9/8/2011,SBLAS,1,28.4,AGMA,3.7,,101,tree
9/8/2011,SBLAS,1,26.2,AGMA,5,,101,tree
9/8/2011,SBLAS,1,25.4,AGMA,4.5,,101,tree
9/8/2011,SBLAS,1,20.4,AGMA,5.2,,101,tree
9/8/2011,SBLAS,1,9.2,AGMA,2.2,,101,tree
9/8/2011,SBLAS,1,7.5,AGMA,0.4,,101,tree
