island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive,deer abundance,pig abundance,length exposure
rota,palie,morinda,NA,ungulate,11,7-Jul-11,4,7,0.363636364,low,low,#VALUE!
rota,paliw,morinda,NA,ungulate,11,7-Jul-11,2,9,0.181818182,low,low,#VALUE!
guam,ann,psychotria,10-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,low,high,112
guam,ans,psychotria,10-Mar-11,fenced,14,30-Jun-11,6,8,0.428571429,low,low,112
guam,nblas,psychotria,9-Mar-11,fenced,14,30-Jun-11,12,2,0.857142857,low,low,113
guam,race,psychotria,9-Mar-11,fenced,14,1-Jul-11,14,0,1,high,high,114
guam,racefr,psychotria,11-Mar-11,fenced,14,1-Jul-11,5,9,0.357142857,low,low,112
guam,ritdgate,psychotria,11-Mar-11,fenced,14,1-Jul-11,14,0,1,high,high,112
guam,ritdgrid,psychotria,12-Mar-11,fenced,14,1-Jul-11,13,1,0.928571429,high,high,111
guam,sblas,psychotria,12-Mar-11,fenced,14,30-Jun-11,11,3,0.785714286,high,low,110
rota,bird,psychotria,5-Feb-11,fenced,14,7-Jul-11,11,3,0.785714286,high,low,152
rota,cross,psychotria,8-Feb-11,fenced,14,9-Jul-11,8,6,0.571428571,low,low,151
rota,grvpt,psychotria,10-Feb-11,fenced,14,8-Jul-11,10,4,0.714285714,high,high,148
rota,jsc,psychotria,10-Feb-11,fenced,14,8-Jul-11,11,3,0.785714286,high,high,148
rota,midfig,psychotria,11-Feb-11,fenced,14,8-Jul-11,5,9,0.357142857,high,high,147
rota,palie,psychotria,9-Feb-11,fenced,14,7-Jul-11,14,0,1,low,low,148
rota,paliw,psychotria,9-Feb-11,fenced,14,7-Jul-11,2,12,0.142857143,low,low,148
guam,ann,psychotria,10-Mar-11,ungulate,14,30-Jun-11,8,6,0.571428571,low,high,112
guam,ans,psychotria,10-Mar-11,ungulate,14,30-Jun-11,4,10,0.285714286,low,low,112
guam,nblas,psychotria,9-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857,low,low,113
guam,race,psychotria,9-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286,high,high,114
guam,racefr,psychotria,11-Mar-11,ungulate,14,1-Jul-11,4,10,0.285714286,low,low,112
guam,ritdgate,psychotria,11-Mar-11,ungulate,14,1-Jul-11,11,3,0.785714286,high,high,112
guam,ritdgrid,psychotria,12-Mar-11,ungulate,14,1-Jul-11,6,8,0.428571429,high,high,111
guam,sblas,psychotria,12-Mar-11,ungulate,14,30-Jun-11,5,9,0.357142857,high,low,110
rota,bird,psychotria,5-Feb-11,ungulate,14,7-Jul-11,10,4,0.714285714,high,low,152
rota,cross,psychotria,8-Feb-11,ungulate,14,9-Jul-11,8,6,0.571428571,low,low,151
rota,grvpt,psychotria,10-Feb-11,ungulate,14,8-Jul-11,11,3,0.785714286,high,high,148
rota,jsc,psychotria,10-Feb-11,ungulate,14,8-Jul-11,11,3,0.785714286,high,high,148
rota,midfig,psychotria,11-Feb-11,ungulate,14,8-Jul-11,7,7,0.5,high,high,147
rota,palie,psychotria,9-Feb-11,ungulate,14,7-Jul-11,11,3,0.785714286,low,low,148
rota,paliw,psychotria,9-Feb-11,ungulate,14,7-Jul-11,10,4,0.714285714,low,low,148
guam,ann,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,low,high,208
guam,ans,premna,4-Dec-10,fenced,14,30-Jun-11,0,14,0,low,low,208
guam,nblas,premna,7-Dec-10,fenced,14,30-Jun-11,8,6,0.571428571,low,low,205
guam,race,premna,7-Dec-10,fenced,14,1-Jul-11,7,7,0.5,high,high,206
guam,racefr,premna,7-Dec-10,fenced,14,1-Jul-11,0,14,0,low,low,206
guam,ritdgate,premna,15-May-10,fenced,14,1-Jul-11,12,2,0.857142857,high,high,412
guam,ritdgrid,premna,8-Dec-10,fenced,14,1-Jul-11,0,14,0,high,high,205
guam,sblas,premna,7-Dec-10,fenced,14,30-Jun-11,9,5,0.642857143,high,low,205
rota,bird,premna,NA,fenced,14,7-Jul-11,1,13,0.071428571,high,low,#VALUE!
rota,cross,premna,NA,fenced,14,9-Jul-11,4,10,0.285714286,low,low,#VALUE!
rota,grvpt,premna,NA,fenced,14,8-Jul-11,8,6,0.571428571,high,high,#VALUE!
rota,jsc,premna,NA,fenced,14,8-Jul-11,4,10,0.285714286,high,high,#VALUE!
rota,midfig,premna,NA,fenced,14,8-Jul-11,0,14,0,high,high,#VALUE!
rota,palie,premna,NA,fenced,14,7-Jul-11,6,8,0.428571429,low,low,#VALUE!
rota,paliw,premna,NA,fenced,14,7-Jul-11,1,13,0.071428571,low,low,#VALUE!
guam,ann,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,low,high,208
guam,ans,premna,4-Dec-10,ungulate,14,30-Jun-11,0,14,0,low,low,208
guam,nblas,premna,7-Dec-10,ungulate,14,30-Jun-11,2,12,0.142857143,low,low,205
guam,race,premna,7-Dec-10,ungulate,14,1-Jul-11,8,6,0.571428571,high,high,206
guam,racefr,premna,7-Dec-10,ungulate,14,1-Jul-11,0,14,0,low,low,206
guam,ritdgate,premna,15-May-10,ungulate,14,1-Jul-11,3,11,0.214285714,high,high,412
guam,ritdgrid,premna,8-Dec-10,ungulate,14,1-Jul-11,4,10,0.285714286,high,high,205
guam,sblas,premna,7-Dec-10,ungulate,14,30-Jun-11,1,13,0.071428571,high,low,205
rota,bird,premna,NA,ungulate,14,7-Jul-11,0,14,0,high,low,#VALUE!
rota,cross,premna,NA,ungulate,14,9-Jul-11,1,13,0.071428571,low,low,#VALUE!
rota,grvpt,premna,NA,ungulate,14,8-Jul-11,5,9,0.357142857,high,high,#VALUE!
rota,jsc,premna,NA,ungulate,14,8-Jul-11,6,8,0.428571429,high,high,#VALUE!
rota,midfig,premna,NA,ungulate,14,8-Jul-11,0,14,0,high,high,#VALUE!
rota,palie,premna,NA,ungulate,14,7-Jul-11,0,14,0,low,low,#VALUE!
rota,paliw,premna,NA,ungulate,14,7-Jul-11,0,14,0,low,low,#VALUE!
guam,ann,neiso,8-May-10,fenced,7,30-Jun-11,7,0,1,low,high,418
guam,ans,neiso,11-May-10,fenced,7,30-Jun-11,3,4,0.428571429,low,low,415
guam,nblas,neiso,12-May-10,fenced,7,30-Jun-11,7,0,1,low,low,414
guam,race,neiso,11-May-10,fenced,7,1-Jul-11,7,0,1,high,high,416
guam,racefr,neiso,12-May-10,fenced,7,1-Jul-11,6,1,0.857142857,low,low,415
guam,ritdgate,neiso,17-Jun-10,fenced,7,1-Jul-11,4,3,0.571428571,high,high,379
guam,ritdgrid,neiso,16-May-10,fenced,7,1-Jul-11,7,0,1,high,high,411
guam,sblas,neiso,14-May-10,fenced,7,30-Jun-11,7,0,1,high,low,412
rota,bird,neiso,NA,fenced,9,7-Jul-11,1,8,0.111111111,high,low,#VALUE!
rota,cross,neiso,NA,fenced,9,9-Jul-11,7,2,0.777777778,low,low,#VALUE!
rota,grvpt,neiso,NA,fenced,9,8-Jul-11,5,4,0.555555556,high,high,#VALUE!
rota,jsc,neiso,NA,fenced,9,8-Jul-11,0,9,0,high,high,#VALUE!
rota,midfig,neiso,NA,fenced,9,8-Jul-11,1,8,0.111111111,high,high,#VALUE!
rota,palie,neiso,NA,fenced,9,7-Jul-11,7,2,0.777777778,low,low,#VALUE!
rota,paliw,neiso,NA,fenced,9,7-Jul-11,3,6,0.333333333,low,low,#VALUE!
guam,ann,neiso,8-May-10,ungulate,7,30-Jun-11,7,0,1,low,high,418
guam,ans,neiso,11-May-10,ungulate,7,30-Jun-11,4,3,0.571428571,low,low,415
guam,nblas,neiso,12-May-10,ungulate,7,30-Jun-11,7,0,1,low,low,414
guam,race,neiso,11-May-10,ungulate,7,1-Jul-11,7,0,1,high,high,416
guam,racefr,neiso,12-May-10,ungulate,7,1-Jul-11,7,0,1,low,low,415
guam,ritdgate,neiso,17-Jun-10,ungulate,7,1-Jul-11,3,4,0.428571429,high,high,379
guam,ritdgrid,neiso,16-May-10,ungulate,7,1-Jul-11,5,2,0.714285714,high,high,411
guam,sblas,neiso,14-May-10,ungulate,7,30-Jun-11,6,1,0.857142857,high,low,412
rota,bird,neiso,NA,ungulate,9,7-Jul-11,0,9,0,high,low,#VALUE!
rota,cross,neiso,NA,ungulate,9,9-Jul-11,6,3,0.666666667,low,low,#VALUE!
rota,grvpt,neiso,NA,ungulate,9,8-Jul-11,6,3,0.666666667,high,high,#VALUE!
rota,jsc,neiso,NA,ungulate,9,8-Jul-11,7,2,0.777777778,high,high,#VALUE!
rota,midfig,neiso,NA,ungulate,9,8-Jul-11,0,9,0,high,high,#VALUE!
rota,palie,neiso,NA,ungulate,9,7-Jul-11,5,4,0.555555556,low,low,#VALUE!
rota,paliw,neiso,NA,ungulate,9,7-Jul-11,7,2,0.777777778,low,low,#VALUE!
guam,ann,aglaia,11-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,low,high,231
guam,ans,aglaia,10-Nov-10,fenced,14,30-Jun-11,9,5,0.642857143,low,low,232
guam,nblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,11,3,0.785714286,low,low,230
guam,race,aglaia,12-Nov-10,fenced,14,1-Jul-11,13,1,0.928571429,high,high,231
guam,racefr,aglaia,11-Nov-10,fenced,14,1-Jul-11,6,8,0.428571429,low,low,232
guam,ritdgate,aglaia,8-Dec-10,fenced,14,1-Jul-11,14,0,1,high,high,205
guam,ritdgrid,aglaia,13-Nov-10,fenced,14,1-Jul-11,12,2,0.857142857,high,high,230
guam,sblas,aglaia,12-Nov-10,fenced,14,30-Jun-11,10,4,0.714285714,high,low,230
rota,bird,aglaia,NA,fenced,14,7-Jul-11,6,8,0.428571429,high,low,#VALUE!
rota,cross,aglaia,NA,fenced,14,9-Jul-11,12,2,0.857142857,low,low,#VALUE!
rota,grvpt,aglaia,NA,fenced,14,8-Jul-11,4,10,0.285714286,high,high,#VALUE!
rota,jsc,aglaia,NA,fenced,14,8-Jul-11,1,13,0.071428571,high,high,#VALUE!
rota,midfig,aglaia,NA,fenced,14,8-Jul-11,7,7,0.5,high,high,#VALUE!
rota,palie,aglaia,NA,fenced,14,7-Jul-11,13,1,0.928571429,low,low,#VALUE!
rota,paliw,aglaia,NA,fenced,14,7-Jul-11,11,3,0.785714286,low,low,#VALUE!
guam,ann,aglaia,11-Nov-10,ungulate,14,30-Jun-11,12,2,0.857142857,low,high,231
guam,ans,aglaia,10-Nov-10,ungulate,14,30-Jun-11,4,10,0.285714286,low,low,232
guam,nblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,9,5,0.642857143,low,low,230
guam,race,aglaia,12-Nov-10,ungulate,14,1-Jul-11,14,0,1,high,high,231
guam,racefr,aglaia,11-Nov-10,ungulate,14,1-Jul-11,7,7,0.5,low,low,232
guam,ritdgate,aglaia,8-Dec-10,ungulate,14,1-Jul-11,9,5,0.642857143,high,high,205
guam,ritdgrid,aglaia,13-Nov-10,ungulate,14,1-Jul-11,13,1,0.928571429,high,high,230
guam,sblas,aglaia,12-Nov-10,ungulate,14,30-Jun-11,8,6,0.571428571,high,low,230
rota,bird,aglaia,NA,ungulate,14,7-Jul-11,10,4,0.714285714,high,low,#VALUE!
rota,cross,aglaia,NA,ungulate,14,9-Jul-11,11,3,0.785714286,low,low,#VALUE!
rota,grvpt,aglaia,NA,ungulate,14,8-Jul-11,6,8,0.428571429,high,high,#VALUE!
rota,jsc,aglaia,NA,ungulate,14,8-Jul-11,9,5,0.642857143,high,high,#VALUE!
rota,midfig,aglaia,NA,ungulate,14,8-Jul-11,9,5,0.642857143,high,high,#VALUE!
rota,palie,aglaia,NA,ungulate,14,7-Jul-11,9,5,0.642857143,low,low,#VALUE!
rota,paliw,aglaia,NA,ungulate,14,7-Jul-11,11,3,0.785714286,low,low,#VALUE!
