Date,Site,Transect,Distance,Spp.,Height (m),DBH (cm),Seedling?,Herbivory?,Epiphytes,Species Counts,
10/5/11,AAFB GOLF,2,10.3,FLIN,,,1,,,6,5
10/5/11,AAFB GOLF,1,31.1,FLIN,0.1,,,,,6,
10/5/11,AAFB GOLF,1,9.4,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,28.7,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,27.9,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,13.2,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,11.1,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,10.9,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,9.3,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,2.8,GUMA,,,1,,,24,
10/5/11,AAFB GOLF,2,2.4,GUMA,,,2,,,24,10
10/5/11,AAFB GOLF,2,1.5,GUMA,1.9,,,,MIMI,24,
10/5/11,AAFB GOLF,2,48.2,GUMA,1.5,,,,,24,
10/5/11,AAFB GOLF,2,45.6,GUMA,1.9,,,,,24,
10/5/11,AAFB GOLF,2,45.2,GUMA,3,,,,,24,
10/5/11,AAFB GOLF,2,43.5,GUMA,2.2,,,,,24,
10/5/11,AAFB GOLF,2,43.1,GUMA,2.2,,,,,24,
10/5/11,AAFB GOLF,2,21.5,GUMA,6.5,,,,,24,
10/5/11,AAFB GOLF,2,15.9,GUMA,5.9,,,,,24,
10/5/11,AAFB GOLF,2,13.1,GUMA,0.4,,,,,24,
10/5/11,AAFB GOLF,2,12.8,GUMA,1.2,,,,,24,
10/5/11,AAFB GOLF,2,12.7,GUMA,0.9,,,,,24,
10/5/11,AAFB GOLF,2,12,GUMA,0.5,,,,,24,
10/5/11,AAFB GOLF,2,11.4,GUMA,6.9,,,,,24,
10/5/11,AAFB GOLF,2,7.1,GUMA,6.1,,,,,24,
10/5/11,AAFB GOLF,2,1.6,GUMA,1.1,,,,,24,
10/5/11,AAFB GOLF,2,46.6,INBI,8.9,,,,,2,
10/5/11,AAFB GOLF,2,44,INBI,8.1,,,,,2,
10/5/11,AAFB GOLF,2,32.1,Jasminum,,,1,,,1,
10/5/11,AAFB GOLF,1,15.5,Lantana,,,4,,,1,
10/5/11,AAFB GOLF,2,21.5,LELE,,,1,,,1,
10/5/11,AAFB GOLF,1,47.9,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,45.3,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,38.2,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,36.9,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,19.4,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,14.8,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,13.8,MATH,,,1,,,16,
10/5/11,AAFB GOLF,2,32.7,MATH,,,1,,,16,
10/5/11,AAFB GOLF,1,46.9,MATH,,,2,,,16,
10/5/11,AAFB GOLF,1,42.9,MATH,,,2,,,16,
10/5/11,AAFB GOLF,1,43.1,MATH,,,3,,,16,
10/5/11,AAFB GOLF,1,36,MATH,,,3,,,16,
10/5/11,AAFB GOLF,1,47.8,MATH,,,4,,,16,
10/5/11,AAFB GOLF,1,47,MATH,,,4,,,16,26
10/5/11,AAFB GOLF,1,38.9,MATH,11,,,,ASNI,16,
10/5/11,AAFB GOLF,2,40,MATH,11,,,,,16,
10/5/11,AAFB GOLF,1,49.2,MIMI,,,1,,,3,
10/5/11,AAFB GOLF,1,49.9,MIMI,,,,,,3,
10/5/11,AAFB GOLF,2,3.5,MIMI,,,,,,3,
10/5/11,AAFB GOLF,2,48.9,NEOP,2.2,,,,,3,
10/5/11,AAFB GOLF,2,48.5,NEOP,4.5,,,,,3,
10/5/11,AAFB GOLF,2,48.5,NEOP,2.1,,,,,3,
10/5/11,AAFB GOLF,1,47.1,Nephrolepis,0.5,,,,,1,
10/5/11,AAFB GOLF,2,49,OCMA,,,1,,,22,
10/5/11,AAFB GOLF,2,23.1,OCMA,,,1,,,22,
10/5/11,AAFB GOLF,2,4.4,OCMA,,,1,,,22,
10/5/11,AAFB GOLF,2,49.5,OCMA,,,2,,,22,5
10/5/11,AAFB GOLF,1,4.5,OCMA,2.6,,,,,22,
10/5/11,AAFB GOLF,2,4.4,OCMA,0.4,,,,MIMI,22,
10/5/11,AAFB GOLF,2,49.1,OCMA,1.1,,,,,22,
10/5/11,AAFB GOLF,2,44.3,OCMA,2.1,,,,,22,
10/5/11,AAFB GOLF,2,30.3,OCMA,5.1,,,,,22,
10/5/11,AAFB GOLF,2,28.6,OCMA,5,,,,,22,
10/5/11,AAFB GOLF,2,28.3,OCMA,4.8,,,,,22,
10/5/11,AAFB GOLF,2,27.8,OCMA,7.9,,,,,22,
10/5/11,AAFB GOLF,2,27.6,OCMA,3.4,,,,,22,
10/5/11,AAFB GOLF,2,26,OCMA,5.3,,,,,22,
10/5/11,AAFB GOLF,2,25.7,OCMA,7.8,,,,,22,
10/5/11,AAFB GOLF,2,24.8,OCMA,8.3,,,,,22,
10/5/11,AAFB GOLF,2,24.3,OCMA,1.3,,,,,22,
10/5/11,AAFB GOLF,2,23.1,OCMA,4,,,,,22,
10/5/11,AAFB GOLF,2,19.2,OCMA,1.4,,,,,22,
10/5/11,AAFB GOLF,2,13.2,OCMA,7.7,,,,,22,
10/5/11,AAFB GOLF,2,12.6,OCMA,0.5,,,,,22,
10/5/11,AAFB GOLF,2,42.1,OCMA?,,,1,,,22,
10/5/11,AAFB GOLF,1,45.7,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,45.3,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,43.6,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,43.2,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,39,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,17.3,PASU,,,1,,,11,
10/5/11,AAFB GOLF,1,15.9,PASU,,,1,,,11,
10/5/11,AAFB GOLF,2,34.3,PASU,,,1,,,11,9
10/5/11,AAFB GOLF,1,49.3,PASU,,,,,,11,
10/5/11,AAFB GOLF,1,49.2,PASU,,,,,,11,
10/5/11,AAFB GOLF,2,33.5,PASU,,,,,,11,
10/5/11,AAFB GOLF,2,49.9,pig tracks?,,,,,,0,
10/5/11,AAFB GOLF,1,24.2,PIGR,9.3,,,,,1,
10/5/11,AAFB GOLF,1,14.8,PIMI,,,,,,1,
10/5/11,AAFB GOLF,1,47.5,POSC,0.1,,,YES,,13,
10/5/11,AAFB GOLF,1,46.2,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,1,45.7,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,1,21.1,POSC,0.1,,,,,13,
10/5/11,AAFB GOLF,1,20.7,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,36.2,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,36.2,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,35.4,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,35.4,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,34.7,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,33.6,POSC,0.1,,,,,13,
10/5/11,AAFB GOLF,2,33.2,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,32,POSC,0.05,,,,,13,
10/5/11,AAFB GOLF,2,39.4,TRTR,,,1,,,7,
10/5/11,AAFB GOLF,2,31,TRTR,,,1,,,7,
10/5/11,AAFB GOLF,2,35.7,TRTR,,,2,,,7,4
10/5/11,AAFB GOLF,2,32.7,TRTR,1.2,,,,,7,
10/5/11,AAFB GOLF,2,2.5,TRTR,1.8,,,,,7,
10/5/11,AAFB GOLF,2,2.1,TRTR,1,,,,,7,
10/5/11,AAFB GOLF,2,1,TRTR,1.5,,,,,7,
10/5/11,AAFB GOLF,1,48.7,weed CHOD?,,,1,,,2,
10/5/11,AAFB GOLF,1,18.5,weed CHOD?,,,1,,,2,
10/5/11,AAFB GOLF,1,26.9,Zeuxine,,,1,,,1,
8/24/11,ANAO N,2,10.9,???,,,1,,,1,
8/24/11,ANAO N,1,38,AGMA,,,1,,,50,
8/24/11,ANAO N,1,36.1,AGMA,,,1,,,50,
8/24/11,ANAO N,1,33.2,AGMA,,,1,,,50,
8/24/11,ANAO N,1,31.1,AGMA,,,1,,,50,
8/24/11,ANAO N,1,20.1,AGMA,,,1,,,50,
8/24/11,ANAO N,1,17.5,AGMA,,,1,,,50,
8/24/11,ANAO N,1,11.7,AGMA,,,1,,,50,
8/24/11,ANAO N,1,10.4,AGMA,,,1,,,50,
8/24/11,ANAO N,1,2.1,AGMA,,,1,,,50,
8/24/11,ANAO N,2,36.3,AGMA,,,1,,,50,
8/24/11,ANAO N,2,12.2,AGMA,,,1,,,50,
8/24/11,ANAO N,2,11.5,AGMA,,,1,,,50,
8/24/11,ANAO N,2,10.9,AGMA,,,1,,,50,
8/24/11,ANAO N,2,9.8,AGMA,,,1,,,50,
8/24/11,ANAO N,2,4.3,AGMA,,,1,,,50,
8/24/11,ANAO N,1,31.5,AGMA,,,2,,,50,
8/24/11,ANAO N,1,27.2,AGMA,,,2,,,50,
8/24/11,ANAO N,1,20.7,AGMA,,,2,,,50,
8/24/11,ANAO N,2,11.2,AGMA,,,2,,,50,
8/24/11,ANAO N,2,11,AGMA,,,2,,,50,
8/24/11,ANAO N,1,43,AGMA,,,3,,,50,
8/24/11,ANAO N,1,43,AGMA,,,3,,,50,
8/24/11,ANAO N,1,32.5,AGMA,,,3,,,50,
8/24/11,ANAO N,1,19.3,AGMA,,,3,,,50,
8/24/11,ANAO N,1,18,AGMA,,,3,,,50,
8/24/11,ANAO N,2,10.3,AGMA,,,3,,,50,
8/24/11,ANAO N,2,8,AGMA,,,3,,,50,
8/24/11,ANAO N,2,7,AGMA,,,3,,,50,
8/24/11,ANAO N,1,43.5,AGMA,,,4,,,50,
8/24/11,ANAO N,1,42,AGMA,,,4,,,50,
8/24/11,ANAO N,1,19,AGMA,,,4,,,50,
8/24/11,ANAO N,2,9.3,AGMA,,,4,,,50,
8/24/11,ANAO N,2,9,AGMA,,,4,,,50,
8/24/11,ANAO N,2,8,AGMA,,,5,,,50,
8/24/11,ANAO N,1,19,AGMA,,,8,,,50,82
8/24/11,ANAO N,1,29,AGMA,7.5,,,,ASNI,50,
8/24/11,ANAO N,1,49.3,AGMA,9,,,,"ASNI, MIMI, CHOD",50,
8/24/11,ANAO N,1,27.7,AGMA,10,,,,COGR,50,
8/24/11,ANAO N,1,2.6,AGMA,7,,,,FLIN,50,
8/24/11,ANAO N,1,33.5,AGMA,0.4,,,,,50,
8/24/11,ANAO N,1,32.9,AGMA,4.2,,,,,50,
8/24/11,ANAO N,2,8.3,AGMA,9,,,,FLIN,50,
8/24/11,ANAO N,2,21.9,AGMA,,,,,"FLIN, COGR",50,
8/24/11,ANAO N,2,44.4,AGMA,2.1,,,,MIMI,50,
8/24/11,ANAO N,2,24,AGMA,1.8,,,,"PASU, MIMI",50,
8/24/11,ANAO N,2,48.2,AGMA,1.4,,,,,50,
8/24/11,ANAO N,2,29.9,AGMA,1.1,,,,,50,
8/24/11,ANAO N,2,26.6,AGMA,1,,,,,50,
8/24/11,ANAO N,2,14.9,AGMA,0.4,,,,,50,
8/24/11,ANAO N,2,12.7,AGMA,1.2,,,,,50,
8/24/11,ANAO N,1,46.6,Asplenium nidus,,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,43.2,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,40.8,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,40.8,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,40.8,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,38.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,38.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,38.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,38.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,38.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,36.1,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,33.8,Asplenium nidus,0.5,,,,,34,
8/24/11,ANAO N,1,33.6,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,1,30,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,27.3,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,26.1,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,26.1,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,24.7,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,18.9,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,18.9,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,18.9,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,18.9,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,13.6,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,9.9,Asplenium nidus,0.05,,,,,34,
8/24/11,ANAO N,2,9.2,Asplenium nidus,0.1,,,,,34,
8/24/11,ANAO N,2,9.2,Asplenium nidus,0.1,,,,,34,
8/24/11,ANAO N,2,9.2,Asplenium nidus,0.1,,,,,34,
8/24/11,ANAO N,2,19.3,Asplenium niduse,0.05,,,,,34,
8/24/11,ANAO N,1,46.3,Asplenium polyodon,0.1,,,,,9,
8/24/11,ANAO N,1,33.1,Asplenium polyodon,0.1,,,,,9,
8/24/11,ANAO N,1,21.1,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,1,20.6,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,27.5,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,25.8,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,25.8,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,25.8,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,25.1,Asplenium polyodon,0.05,,,,,9,
8/24/11,ANAO N,2,30,chewed OCMA ,,,,,,0,
8/24/11,ANAO N,1,28.2,COGR,,,1,,,11,
8/24/11,ANAO N,2,30.1,COGR,,,1,,,11,2
8/24/11,ANAO N,1,27.3,COGR,,,,,,11,
8/24/11,ANAO N,1,19.8,COGR,,,,,,11,
8/24/11,ANAO N,1,16.9,COGR,,,,,,11,
8/24/11,ANAO N,2,47.6,COGR,,,,,,11,
8/24/11,ANAO N,2,36,COGR,,,,,,11,
8/24/11,ANAO N,2,32.6,COGR,,,,,,11,
8/24/11,ANAO N,2,31.1,COGR,,,,,,11,
8/24/11,ANAO N,2,28.5,COGR,,,,,,11,
8/24/11,ANAO N,2,18.5,COGR,,,,,,11,
8/24/11,ANAO N,1,36.9,CYMI,2.3,,,,,4,
8/24/11,ANAO N,1,24.2,CYMI,2.7,,,,,4,
8/24/11,ANAO N,2,46.4,CYMI,,,,,FLIN,4,
8/24/11,ANAO N,2,49.5,CYMI,3.2,,,,,4,
8/24/11,ANAO N,2,40.2,CYRA,2.7,,,,FLIN,3,
8/24/11,ANAO N,2,40.2,CYRA,3.2,,,,,3,
8/24/11,ANAO N,2,3,CYRA,4.1,,,,,3,
8/24/11,ANAO N,1,7.2,dead CYMI log,,,,,,3,
8/24/11,ANAO N,2,16.8,dead CYMI log,,,,,,3,
8/24/11,ANAO N,2,15.9,dead CYMI log,,,,,,3,
8/24/11,ANAO N,1,22,dead GUMA log,,,,,,6,
8/24/11,ANAO N,2,16.2,dead INBI,,,,,,6,
8/24/11,ANAO N,1,46.6,dead log,,,,,,6,
8/24/11,ANAO N,2,12.8,dead log,,,,,,6,
8/24/11,ANAO N,2,11.7,dead log,,,,,,6,
8/24/11,ANAO N,2,9.2,dead log,,,,,,6,
8/24/11,ANAO N,1,41.9,dead stump,,,,,,9,
8/24/11,ANAO N,1,25.9,dead stump,,,,,,9,
8/24/11,ANAO N,1,8.6,dead stump,,,,,,9,
8/24/11,ANAO N,2,32.1,dead stump,,,,,,9,
8/24/11,ANAO N,2,20.6,dead stump,,,,,,9,
8/24/11,ANAO N,2,12,dead stump,,,,,,9,
8/24/11,ANAO N,2,2.6,dead stump,,,,,,9,
8/24/11,ANAO N,2,43.5,dead stump,,,,,,9,
8/24/11,ANAO N,2,21.7,dead stump,,,,,,9,
8/24/11,ANAO N,1,49.3,deer scat,,,,,,0,
8/24/11,ANAO N,1,43.9,deer scat,,,,,,0,
8/24/11,ANAO N,1,42.7,deer scat,,,,,,0,
8/24/11,ANAO N,1,42.4,deer scat,,,,,,0,
8/24/11,ANAO N,2,28.7,deer scat,,,,,,0,
8/24/11,ANAO N,1,34,EURE,,,1,,,24,
8/24/11,ANAO N,1,33.2,EURE,,,1,,,24,
8/24/11,ANAO N,1,10.4,EURE,,,1,,,24,
8/24/11,ANAO N,1,7.1,EURE,,,1,,,24,
8/24/11,ANAO N,1,6.3,EURE,,,1,,,24,
8/24/11,ANAO N,2,41,EURE,,,1,,,24,
8/24/11,ANAO N,2,39.5,EURE,,,1,,,24,
8/24/11,ANAO N,2,32.5,EURE,,,1,,,24,
8/24/11,ANAO N,2,31.1,EURE,,,1,,,24,
8/24/11,ANAO N,2,20.9,EURE,,,1,,,24,
8/24/11,ANAO N,2,20.2,EURE,,,1,,,24,
8/24/11,ANAO N,2,19.7,EURE,,,1,,,24,
8/24/11,ANAO N,2,17.6,EURE,,,1,,,24,
8/24/11,ANAO N,2,16.5,EURE,,,1,,,24,
8/24/11,ANAO N,2,40.7,EURE,,,2,,,24,
8/24/11,ANAO N,2,31.8,EURE,,,2,,,24,
8/24/11,ANAO N,2,31.6,EURE,,,2,,,24,20
8/24/11,ANAO N,1,9.6,EURE,1.9,,,,,24,
8/24/11,ANAO N,2,31.1,EURE,5,,,,COGR,24,
8/24/11,ANAO N,2,23,EURE,1.5,,,,"COGR, MIMI",24,
8/24/11,ANAO N,2,40.5,EURE,2,,,,,24,
8/24/11,ANAO N,2,32.1,EURE,6,,,,,24,
8/24/11,ANAO N,2,23.3,EURE,0.5,,,,,24,
8/24/11,ANAO N,2,17.6,EURE,6,,,,,24,
8/24/11,ANAO N,1,46.5,FLIN,,,1,,,70,
8/24/11,ANAO N,1,30,FLIN,,,1,,,70,
8/24/11,ANAO N,1,17.5,FLIN,,,1,,,70,
8/24/11,ANAO N,1,15.9,FLIN,,,1,,,70,
8/24/11,ANAO N,1,15.3,FLIN,,,1,,,70,
8/24/11,ANAO N,1,14.8,FLIN,,,1,,,70,
8/24/11,ANAO N,1,6.3,FLIN,,,1,,,70,
8/24/11,ANAO N,1,5.6,FLIN,,,1,,,70,
8/24/11,ANAO N,2,38.2,FLIN,,,1,,,70,
8/24/11,ANAO N,2,35.2,FLIN,,,1,,,70,
8/24/11,ANAO N,2,32.2,FLIN,,,1,,,70,
8/24/11,ANAO N,2,30.3,FLIN,,,1,,,70,
8/24/11,ANAO N,2,29.5,FLIN,,,1,,,70,
8/24/11,ANAO N,2,28.3,FLIN,,,1,,,70,
8/24/11,ANAO N,2,27.5,FLIN,,,1,,,70,
8/24/11,ANAO N,2,24.4,FLIN,,,1,,,70,
8/24/11,ANAO N,2,20.6,FLIN,,,1,,,70,
8/24/11,ANAO N,2,14.4,FLIN,,,1,,,70,
8/24/11,ANAO N,2,13.1,FLIN,,,1,,,70,
8/24/11,ANAO N,2,11,FLIN,,,1,,,70,
8/24/11,ANAO N,2,10.3,FLIN,,,1,,,70,
8/24/11,ANAO N,2,9.7,FLIN,,,1,,,70,
8/24/11,ANAO N,2,4.5,FLIN,,,1,,,70,
8/24/11,ANAO N,1,19,FLIN,,,2,,,70,
8/24/11,ANAO N,1,18,FLIN,,,2,,,70,
8/24/11,ANAO N,1,14.8,FLIN,,,2,,,70,
8/24/11,ANAO N,1,13.6,FLIN,,,2,,,70,
8/24/11,ANAO N,1,12,FLIN,,,2,,,70,
8/24/11,ANAO N,1,10.1,FLIN,,,2,,,70,
8/24/11,ANAO N,1,0,FLIN,,,2,,,70,
8/24/11,ANAO N,2,28.5,FLIN,,,2,,,70,
8/24/11,ANAO N,1,19,FLIN,,,3,,,70,
8/24/11,ANAO N,1,13,FLIN,,,3,,,70,
8/24/11,ANAO N,1,12,FLIN,,,3,,,70,
8/24/11,ANAO N,1,11,FLIN,,,3,,,70,
8/24/11,ANAO N,1,2.1,FLIN,,,3,,,70,
8/24/11,ANAO N,1,1,FLIN,,,3,,,70,
8/24/11,ANAO N,2,22.6,FLIN,,,3,,,70,
8/24/11,ANAO N,1,13.1,FLIN,,,4,,,70,
8/24/11,ANAO N,1,7.7,FLIN,,,4,,,70,
8/24/11,ANAO N,1,3.6,FLIN,,,4,,,70,
8/24/11,ANAO N,1,2,FLIN,,,4,,,70,
8/24/11,ANAO N,1,1,FLIN,,,4,,,70,80
8/24/11,ANAO N,1,48.1,FLIN,0.1,,,YES,,70,
8/24/11,ANAO N,1,16.2,FLIN,0.4,,,,,70,
8/24/11,ANAO N,1,15.9,FLIN,0.5,,,,,70,
8/24/11,ANAO N,1,4.1,FLIN,,,,,,70,
8/24/11,ANAO N,2,45.6,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,39.8,FLIN,0.2,,,,,70,
8/24/11,ANAO N,2,34.7,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,33.1,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,31.9,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,28.3,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,27,FLIN,,,,,,70,
8/24/11,ANAO N,2,26.7,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,26.7,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,26.7,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,26,FLIN,0.2,,,,,70,
8/24/11,ANAO N,2,25.3,FLIN,,,,,,70,
8/24/11,ANAO N,2,24.4,FLIN,0.6,,,YES,,70,
8/24/11,ANAO N,2,23.2,FLIN,,,,,,70,
8/24/11,ANAO N,2,22.3,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,21.4,FLIN,0.3,,,,,70,
8/24/11,ANAO N,2,20.2,FLIN,0.2,,,,,70,
