"Date","site","Transect","Distance","plant_spp","height","DBH..cm.","seedlings","Herbivory.","Epiphytes","Species.Counts"
"7/27/2011","anao s",1,"42.5","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"40.9","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"15.1","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"36.1","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"34.9","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"25.5","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"23.9","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"23.3","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"22.9","AGMA","","",1,"","",31
"7/27/2011","anao s",2,"5.2","AGMA","","",1,"","",31
"7/27/2011","anao s",1,"46.4","AGMA","","",2,"","",31
"7/27/2011","anao s",1,"34.7","AGMA","","",3,"","",31
"7/27/2011","anao s",1,"45.4","AGMA","6.2","",NA,"","",31
"7/27/2011","anao s",1,"45.4","AGMA","8.5","",NA,"","",31
"7/27/2011","anao s",1,"44.7","AGMA","0.2","",NA,"","",31
"7/27/2011","anao s",1,"42.1","AGMA","5.9","",NA,"","",31
"7/27/2011","anao s",1,"35.4","AGMA","6.5","",NA,"","",31
"7/27/2011","anao s",1,"23","AGMA","1.5","",NA,"","",31
"7/27/2011","anao s",1,"15.1","AGMA","5.9","",NA,"","",31
"7/27/2011","anao s",1,"13.5","AGMA","5.8","",NA,"","",31
"7/27/2011","anao s",1,"10.6","AGMA","2.6","",NA,"","",31
"7/27/2011","anao s",1,"10.5","AGMA","5.2","",NA,"","",31
"7/27/2011","anao s",2,"49.6","AGMA","1.1","",NA,"","PASU",31
"7/27/2011","anao s",2,"48.8","AGMA","0.4","",NA,"","",31
"7/27/2011","anao s",2,"26","AGMA","0.6","",NA,"","",31
"7/27/2011","anao s",2,"3.3","AGMA","1","",NA,"","",31
"7/27/2011","anao s",2,"2.6","AGMA","1.6","",NA,"","",31
"7/26/2011","gw",1,"48.2","AGMA","","",1,"","",6
"7/26/2011","gw",1,"16.1","AGMA","","",1,"","",6
"7/26/2011","gw",1,"13.1","AGMA","2","",NA,"","Jasminum",6
"7/26/2011","gw",1,"25.8","AGMA","2.2","",NA,"","lots of FLIN",6
"7/26/2011","gw",1,"12.6","AGMA","1.7","",NA,"","",6
"8/2/2011","gw",2,"3.3","AGMA","5.2","",NA,"","FLIN",6
"9/29/2011","hmu",1,"27.7","AGMA","","",1,"","",34
"9/29/2011","hmu",1,"22.7","AGMA","","",1,"","",34
"9/29/2011","hmu",1,"22.1","AGMA","","",1,"","",34
"9/29/2011","hmu",1,"11.3","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"41.9","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"41.1","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"27.1","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"23.5","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"17.3","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"16.7","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"16.5","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"15.1","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"14.9","AGMA","","",1,"","",34
"9/29/2011","hmu",2,"14.4","AGMA","","",1,"","",34
"9/29/2011","hmu",1,"31.5","AGMA","","",2,"","",34
"9/29/2011","hmu",1,"31","AGMA","","",2,"","",34
"9/29/2011","hmu",1,"30","AGMA","","",2,"","",34
"9/29/2011","hmu",1,"29.5","AGMA","","",2,"","",34
"9/29/2011","hmu",1,"19.8","AGMA","","",2,"","",34
"9/29/2011","hmu",2,"42.6","AGMA","","",2,"","",34
"9/29/2011","hmu",2,"39.6","AGMA","","",2,"","",34
"9/29/2011","hmu",2,"16.2","AGMA","","",2,"","",34
"9/29/2011","hmu",1,"32.2","AGMA","","",3,"","",34
"9/29/2011","hmu",1,"20","AGMA","","",3,"","",34
"9/29/2011","hmu",2,"40","AGMA","","",3,"","",34
"9/29/2011","hmu",1,"21","AGMA","","",4,"","",34
"9/29/2011","hmu",2,"41","AGMA","","",4,"","",34
"9/29/2011","hmu",2,"15.5","AGMA","","",4,"","",34
"9/29/2011","hmu",1,"31","AGMA","","",5,"","",34
"9/29/2011","hmu",1,"30","AGMA","","",5,"","",34
"9/29/2011","hmu",1,"26.3","AGMA","0.4","",NA,"","",34
"9/29/2011","hmu",1,"16.1","AGMA","8.5","",NA,"","",34
"9/29/2011","hmu",2,"30.8","AGMA","5.2","",NA,"","",34
"9/29/2011","hmu",2,"30.4","AGMA","5.1","",NA,"","",34
"8/25/2011","nblas",1,"21.7","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"46.2","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"46","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"45.3","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"45","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"42.7","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"41.7","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"34.3","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"17.4","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"16.8","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"14","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"13.3","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"11.6","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"7","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"2.5","AGMA","","",1,"","",39
"8/25/2011","nblas",2,"44","AGMA","","",2,"","",39
"8/25/2011","nblas",2,"43","AGMA","","",2,"","",39
"8/25/2011","nblas",2,"22.9","AGMA","","",2,"","",39
"8/25/2011","nblas",2,"13","AGMA","","",2,"","",39
"8/25/2011","nblas",2,"2","AGMA","","",3,"","",39
"8/25/2011","nblas",2,"1","AGMA","","",3,"","",39
"8/25/2011","nblas",2,"45","AGMA","","",5,"","",39
"8/25/2011","nblas",2,"44","AGMA","","",6,"","",39
"8/25/2011","nblas",1,"49.5","AGMA","3.9","",NA,"","",38
"8/25/2011","nblas",1,"49.5","AGMA","2.8","",NA,"","",38
"8/25/2011","nblas",1,"49.2","AGMA","3.8","",NA,"","",38
"8/25/2011","nblas",1,"48.6","AGMA","2.2","",NA,"","",38
"8/25/2011","nblas",1,"47.7","AGMA","3.5","",NA,"","",38
"8/25/2011","nblas",1,"29.8","AGMA","6","",NA,"","",38
"8/25/2011","nblas",1,"10.6","AGMA","6","",NA,"","",38
"8/25/2011","nblas",1,"6.3","AGMA","3.5","",NA,"","",38
"8/25/2011","nblas",1,"5","AGMA","4.5","",NA,"","",39
"8/25/2011","nblas",1,"2.8","AGMA","7.5","",NA,"","",39
"8/25/2011","nblas",1,"1.3","AGMA","6.2","",NA,"","",39
"8/25/2011","nblas",2,"36.8","AGMA","7","",NA,"","POSC, ASP NID, other fern (Asp. Sp?)",39
"8/25/2011","nblas",2,"43.7","AGMA","7.2","",NA,"","",39
"8/25/2011","nblas",2,"32.8","AGMA","0.4","",NA,"","",39
"8/25/2011","nblas",2,"6.2","AGMA","5.8","",NA,"","",39
"8/25/2011","nblas",2,"4.6","AGMA","5","",NA,"","",39
"11/3/2011","nw field",1,"49.4","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"46.2","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"45.2","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"43.5","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"42.3","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"41.6","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"38.8","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"37.6","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"37","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"36.8","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"36","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"33.9","AGMA","","",1,"","",42
"11/3/2011","nw field",2,"34.5","AGMA","","",1,"","",42
"11/3/2011","nw field",2,"42.6","AGMA","","",1,"","",42
"11/3/2011","nw field",2,"43","AGMA","","",1,"","",42
"11/3/2011","nw field",2,"43.4","AGMA","","",1,"","",42
"11/3/2011","nw field",1,"37.5","AGMA","","",2,"","",42
"11/3/2011","nw field",2,"45.4","AGMA","","",2,"","",42
"11/3/2011","nw field",2,"45.8","AGMA","","",3,"","",42
"11/3/2011","nw field",2,"43.7","AGMA","","",4,"","",42
"11/3/2011","nw field",2,"46.4","AGMA","","",4,"","",42
"11/3/2011","nw field",1,"12.2","AGMA","4.1","",NA,"","PASU",42
"11/3/2011","nw field",1,"46.7","AGMA","1.3","",NA,"","",42
"11/3/2011","nw field",1,"35","AGMA","0.3","",NA,"","",42
"11/3/2011","nw field",1,"34.5","AGMA","0.4","",NA,"","",42
"11/3/2011","nw field",1,"34.5","AGMA","3.2","",NA,"","",42
"11/3/2011","nw field",1,"33.4","AGMA","0.5","",NA,"","",42
"11/3/2011","nw field",1,"31.3","AGMA","3.1","",NA,"","",42
"11/3/2011","nw field",1,"7.6","AGMA","3.6","",NA,"","",42
"11/3/2011","nw field",1,"7.3","AGMA","3.7","",NA,"","",42
"11/3/2011","nw field",2,"11.1","AGMA","2.4","",NA,"","",42
"11/3/2011","nw field",2,"16.2","AGMA","2","",NA,"","",42
"11/3/2011","nw field",2,"19.2","AGMA","2","",NA,"","",42
"11/3/2011","nw field",2,"21.6","AGMA","2.3","",NA,"","",42
"11/3/2011","nw field",2,"34.7","AGMA","2.2","",NA,"","",42
"11/3/2011","nw field",2,"36.4","AGMA","0.6","",NA,"","",42
"11/3/2011","nw field",2,"36.5","AGMA","1.7","",NA,"","",42
"11/3/2011","nw field",2,"38.3","AGMA","3.9","",NA,"","",42
"11/3/2011","nw field",2,"38.8","AGMA","3.8","",NA,"","",42
"11/3/2011","nw field",2,"39.3","AGMA","3.5","",NA,"","",42
"11/3/2011","nw field",2,"43.1","AGMA","1","",NA,"","",42
"11/3/2011","nw field",2,"46.4","AGMA","2.4","",NA,"","",42
"11-Jul","racetrack",1,"45.5","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"41.9","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"42.2","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"39.4","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"35.9","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"26.6","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"23.6","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"16.2","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"24.2","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"13.7","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"12","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"5.5","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"3.9","AGMA","","",1,"","",56
"11-Jul","racetrack",2,"2.7","AGMA","","",1,"","",56
"11-Jul","racetrack",1,"26","AGMA","","",2,"","",56
"11-Jul","racetrack",1,"25","AGMA","","",2,"","",56
"11-Jul","racetrack",1,"24.1","AGMA","","",2,"","",56
"11-Jul","racetrack",2,"5","AGMA","","",2,"","",56
"11-Jul","racetrack",1,"26","AGMA","","",3,"","",56
"11-Jul","racetrack",1,"46.4","AGMA","2.1","",NA,"","FLIN",56
"11-Jul","racetrack",1,"46.2","AGMA","8","",NA,"","FLIN",56
"11-Jul","racetrack",1,"45.2","AGMA","7","",NA,"","FLIN",56
"11-Jul","racetrack",1,"45.2","AGMA","5.6","",NA,"","FLIN",56
"11-Jul","racetrack",1,"48.8","AGMA","0.3","",NA,"","",56
"11-Jul","racetrack",1,"44.4","AGMA","1.1","",NA,"","",56
"11-Jul","racetrack",1,"44.1","AGMA","7","",NA,"","",56
"11-Jul","racetrack",1,"43.8","AGMA","3.8","",NA,"","",56
"11-Jul","racetrack",1,"43.7","AGMA","0.5","",NA,"","",56
"11-Jul","racetrack",1,"43.4","AGMA","0.3","",NA,"","",56
"11-Jul","racetrack",1,"42.6","AGMA","2.3","",NA,"","",56
"11-Jul","racetrack",1,"42.3","AGMA","8","",NA,"","",56
"11-Jul","racetrack",1,"41.7","AGMA","7","",NA,"","",56
"11-Jul","racetrack",1,"31.7","AGMA","6","",NA,"","",56
"11-Jul","racetrack",1,"27.3","AGMA","0.5","",NA,"","",56
"11-Jul","racetrack",1,"17.2","AGMA","0.5","",NA,"","",56
"11-Jul","racetrack",1,"16.6","AGMA","0.6","",NA,"","",56
"11-Jul","racetrack",1,"14.9","AGMA","0.5","",NA,"","",56
"11-Jul","racetrack",1,"8.2","AGMA","1.9","",NA,"","",56
"11-Jul","racetrack",1,"5.8","AGMA","1.6","",NA,"","",56
"11-Jul","racetrack",1,"3.2","AGMA","5.7","",NA,"","",56
"11-Jul","racetrack",2,"15.4","AGMA","6","",NA,"","Asplenium nidus",56
"11-Jul","racetrack",2,"39.3","AGMA","3.1","",NA,"","",56
"11-Jul","racetrack",2,"39","AGMA","5.7","",NA,"","",56
"11-Jul","racetrack",2,"36.7","AGMA","6","",NA,"","",56
"11-Jul","racetrack",2,"36.1","AGMA","6","",NA,"","",56
"11-Jul","racetrack",2,"36.1","AGMA","6","",NA,"","",56
"11-Jul","racetrack",2,"35.3","AGMA","4.3","",NA,"","",56
"11-Jul","racetrack",2,"23.1","AGMA","5","",NA,"","",56
"11-Jul","racetrack",2,"22.1","AGMA","5.3","",NA,"","",56
"11-Jul","racetrack",2,"20.2","AGMA","2","",NA,"","",56
"11-Jul","racetrack",2,"19.3","AGMA","5.2","",NA,"","",56
"11-Jul","racetrack",2,"19.2","AGMA","4.8","",NA,"","",56
"11-Jul","racetrack",2,"17.7","AGMA","0.5","",NA,"","",56
"11-Jul","racetrack",2,"17.3","AGMA","6","",NA,"","",56
"11-Jul","racetrack",2,"10.4","AGMA","4","",NA,"","",56
"11-Jul","racetrack",2,"10.3","AGMA","0.5","",NA,"","",56
"11-Jul","ritd gate",1,"45.7","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"42.9","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"41.8","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"20","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"19","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"18","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"17.4","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"15.9","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"5","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"4","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"3.2","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"2.5","AGMA","","",1,"","",28
"7/19/2011","ritd gate",2,"47.2","AGMA","","",1,"","",28
"7/19/2011","ritd gate",2,"4.4","AGMA","","",1,"","",28
"7/19/2011","ritd gate",2,"3.3","AGMA","","",1,"","",28
"7/19/2011","ritd gate",2,"0.7","AGMA","","",1,"","",28
"11-Jul","ritd gate",1,"44.1","AGMA","","",2,"","",28
"11-Jul","ritd gate",1,"3.6","AGMA","","",2,"","",28
"7/19/2011","ritd gate",2,"2","AGMA","","",2,"","",28
"7/19/2011","ritd gate",2,"1","AGMA","","",2,"","",28
"11-Jul","ritd gate",1,"43.5","AGMA","","",3,"","",28
"7/19/2011","ritd gate",2,"2","AGMA","","",6,"","",28
"7/19/2011","ritd gate",2,"3","AGMA","","",7,"","",28
"11-Jul","ritd gate",1,"36.5","AGMA","0.5","",NA,"","",28
"11-Jul","ritd gate",1,"12","AGMA","4.2","",NA,"","",28
"11-Jul","ritd gate",1,"1.1","AGMA","0.6","",NA,"","",28
"11-Jul","ritd gate",1,"0.6","AGMA","0.4","",NA,"","",28
"7/19/2011","ritd gate",2,"38.3","AGMA","2.7","",NA,"","FLIN",28
"11-Jul","ritd grid",1,"48.3","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"48.1","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"47.8","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"47.6","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"39.9","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"21.9","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"18.7","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"14.6","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"14.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"12.8","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"12.7","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"12.1","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"8.9","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"7.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"5.5","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"4.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"43.3","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"24.8","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"24.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"23.5","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"21.9","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"17.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"6.2","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"6","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"5.8","AGMA","","",1,"","",74
"11-Jul","ritd grid",2,"2.9","AGMA","","",1,"","",74
"11-Jul","ritd grid",1,"19","AGMA","","",2,"","",74
"11-Jul","ritd grid",1,"13.9","AGMA","","",2,"","",74
"11-Jul","ritd grid",1,"5.7","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"43.2","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"42.8","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"21.3","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"19.1","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"16.8","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"12.6","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"11","AGMA","","",2,"","",74
"11-Jul","ritd grid",2,"9","AGMA","","",2,"","",74
"11-Jul","ritd grid",1,"50","AGMA","","",3,"","",74
"11-Jul","ritd grid",1,"13.4","AGMA","","",3,"","",74
"11-Jul","ritd grid",2,"23.1","AGMA","","",3,"","",74
"11-Jul","ritd grid",2,"22.1","AGMA","","",3,"","",74
"11-Jul","ritd grid",2,"10","AGMA","","",3,"","",74
"11-Jul","ritd grid",1,"21.3","AGMA","","",4,"","",74
"11-Jul","ritd grid",1,"7","AGMA","","",4,"","",74
"11-Jul","ritd grid",1,"6","AGMA","","",4,"","",74
"11-Jul","ritd grid",1,"15.2","AGMA","","",5,"","",74
"11-Jul","ritd grid",2,"21","AGMA","","",7,"","",74
"11-Jul","ritd grid",2,"20","AGMA","","",7,"","",74
"11-Jul","ritd grid",2,"8","AGMA","","",7,"","",74
"11-Jul","ritd grid",2,"7","AGMA","","",7,"","",74
"11-Jul","ritd grid",2,"9","AGMA","","",9,"","",74
"11-Jul","ritd grid",2,"8","AGMA","","",9,"","",74
"11-Jul","ritd grid",2,"18","AGMA","","",10,"","",74
"11-Jul","ritd grid",2,"19","AGMA","","",11,"","",74
"11-Jul","ritd grid",1,"49.9","AGMA","0.2","",NA,"","",74
"11-Jul","ritd grid",1,"49.8","AGMA","0.4","",NA,"","",74
"11-Jul","ritd grid",1,"49.4","AGMA","0.3","",NA,"","",74
"11-Jul","ritd grid",1,"38.2","AGMA","2.8","12, 20",NA,"","",74
"11-Jul","ritd grid",1,"30.9","AGMA","0.9","",NA,"","",74
"11-Jul","ritd grid",1,"19.7","AGMA","0.8","",NA,"","",74
"11-Jul","ritd grid",1,"9.1","AGMA","2.3","18",NA,"","",74
"11-Jul","ritd grid",1,"6","AGMA","8","200",NA,"","",74
"11-Jul","ritd grid",1,"5.1","AGMA","12","230",NA,"","",74
"11-Jul","ritd grid",2,"43.1","AGMA","1.2","",NA,"","",74
"11-Jul","ritd grid",2,"38.3","AGMA","7","55",NA,"","",74
"11-Jul","ritd grid",2,"36.3","AGMA","1.3","",NA,"","",74
"11-Jul","ritd grid",2,"36.2","AGMA","4","25",NA,"","",74
"11-Jul","ritd grid",2,"33.7","AGMA","6","38",NA,"","",74
"11-Jul","ritd grid",2,"32.5","AGMA","1.8","7",NA,"","",74
"11-Jul","ritd grid",2,"32.3","AGMA","0.3","",NA,"","",74
"11-Jul","ritd grid",2,"20.4","AGMA","11","",NA,"","",74
"11-Jul","ritd grid",2,"16.3","AGMA","0.3","",NA,"","",74
"11-Jul","ritd grid",2,"14.3","AGMA","0.4","",NA,"","",74
